"Time (s) Run #18","Angle, 670-231 (rad) Run #18"
0.000,0.000
0.050,-0.022
0.100,-0.044
0.150,-0.066
0.200,-0.091
0.250,-0.116
0.300,-0.141
0.350,-0.167
0.400,-0.192
0.450,-0.217
0.500,-0.242
0.550,-0.264
0.600,-0.286
0.650,-0.308
0.700,-0.327
0.750,-0.342
0.800,-0.358
0.850,-0.371
0.900,-0.383
0.950,-0.393
1.000,-0.402
1.050,-0.408
1.100,-0.412
1.150,-0.418
1.200,-0.421
1.250,-0.424
1.300,-0.427
1.350,-0.430
1.400,-0.434
1.450,-0.437
1.500,-0.443
1.550,-0.446
1.600,-0.456
1.650,-0.465
1.700,-0.474
1.750,-0.484
1.800,-0.500
1.850,-0.515
1.900,-0.531
1.950,-0.550
2.000,-0.572
2.050,-0.594
2.100,-0.616
2.150,-0.641
2.200,-0.663
2.250,-0.688
2.300,-0.716
2.350,-0.741
2.400,-0.763
2.450,-0.789
2.500,-0.811
2.550,-0.833
2.600,-0.855
2.650,-0.873
2.700,-0.889
2.750,-0.905
2.800,-0.917
2.850,-0.930
2.900,-0.939
2.950,-0.949
3.000,-0.955
3.050,-0.961
3.100,-0.968
3.150,-0.971
3.200,-0.977
3.250,-0.980
3.300,-0.983
3.350,-0.986
3.400,-0.993
3.450,-0.999
3.500,-1.002
3.550,-1.012
3.600,-1.018
3.650,-1.030
3.700,-1.043
3.750,-1.056
3.800,-1.071
3.850,-1.087
3.900,-1.106
3.950,-1.128
4.000,-1.150
4.050,-1.172
4.100,-1.197
4.150,-1.222
4.200,-1.247
4.250,-1.272
4.300,-1.294
4.350,-1.323
4.400,-1.345
4.450,-1.370
4.500,-1.392
4.550,-1.411
4.600,-1.429
4.650,-1.448
4.700,-1.464
4.750,-1.477
4.800,-1.489
4.850,-1.502
4.900,-1.511
4.950,-1.517
5.000,-1.524
5.050,-1.530
5.100,-1.536
5.150,-1.539
5.200,-1.543
5.250,-1.549
5.300,-1.552
5.350,-1.558
5.400,-1.561
5.450,-1.568
5.500,-1.577
5.550,-1.587
5.600,-1.596
5.650,-1.608
5.700,-1.621
5.750,-1.637
5.800,-1.652
5.850,-1.671
5.900,-1.690
5.950,-1.712
6.000,-1.734
6.050,-1.759
6.100,-1.781
6.150,-1.806
6.200,-1.832
6.250,-1.857
6.300,-1.879
6.350,-1.904
6.400,-1.926
6.450,-1.948
6.500,-1.967
6.550,-1.985
6.600,-2.001
6.650,-2.017
6.700,-2.033
6.750,-2.045
6.800,-2.055
6.850,-2.064
6.900,-2.073
6.950,-2.080
7.000,-2.086
7.050,-2.089
7.100,-2.095
7.150,-2.099
7.200,-2.105
7.250,-2.108
7.300,-2.111
7.350,-2.117
7.400,-2.124
7.450,-2.133
7.500,-2.143
7.550,-2.152
7.600,-2.161
7.650,-2.177
7.700,-2.193
7.750,-2.209
7.800,-2.224
7.850,-2.246
7.900,-2.268
7.950,-2.287
8.000,-2.312
8.050,-2.334
8.100,-2.359
8.150,-2.384
8.200,-2.410
8.250,-2.432
8.300,-2.457
8.350,-2.479
8.400,-2.501
8.450,-2.520
8.500,-2.538
8.550,-2.554
8.600,-2.570
8.650,-2.586
8.700,-2.598
8.750,-2.608
8.800,-2.620
8.850,-2.626
8.900,-2.633
8.950,-2.639
9.000,-2.648
9.050,-2.652
9.100,-2.658
9.150,-2.661
9.200,-2.667
9.250,-2.673
9.300,-2.680
9.350,-2.686
9.400,-2.692
9.450,-2.702
9.500,-2.711
9.550,-2.724
9.600,-2.736
9.650,-2.752
9.700,-2.768
9.750,-2.787
9.800,-2.805
9.850,-2.824
9.900,-2.846
9.950,-2.871
10.000,-2.893
10.050,-2.919
10.100,-2.941
10.150,-2.966
10.200,-2.991
10.250,-3.013
10.300,-3.035
10.350,-3.057
10.400,-3.079
10.450,-3.098
10.500,-3.113
10.550,-3.129
10.600,-3.145
10.650,-3.160
10.700,-3.173
10.750,-3.182
10.800,-3.192
10.850,-3.198
10.900,-3.208
10.950,-3.214
11.000,-3.220
11.050,-3.226
11.100,-3.230
11.150,-3.236
11.200,-3.242
11.250,-3.248
11.300,-3.258
11.350,-3.264
11.400,-3.274
11.450,-3.280
11.500,-3.286
11.550,-3.289
11.600,-3.289
11.650,-3.289
11.700,-3.289
11.750,-3.289
11.800,-3.286
11.850,-3.289
11.900,-3.296
11.950,-3.302
12.000,-3.308
12.050,-3.311
12.100,-3.321
12.150,-3.327
12.200,-3.336
12.250,-3.346
12.300,-3.358
12.350,-3.371
12.400,-3.387
12.450,-3.399
12.500,-3.418
12.550,-3.437
12.600,-3.456
12.650,-3.478
12.700,-3.500
12.750,-3.522
12.800,-3.547
12.850,-3.569
12.900,-3.591
12.950,-3.616
13.000,-3.638
13.050,-3.660
13.100,-3.682
13.150,-3.701
13.200,-3.720
13.250,-3.738
13.300,-3.754
13.350,-3.770
13.400,-3.782
13.450,-3.795
13.500,-3.804
13.550,-3.817
13.600,-3.826
13.650,-3.833
13.700,-3.839
13.750,-3.845
13.800,-3.852
13.850,-3.858
13.900,-3.864
13.950,-3.874
14.000,-3.880
14.050,-3.889
14.100,-3.896
14.150,-3.908
14.200,-3.918
14.250,-3.930
14.300,-3.943
14.350,-3.958
14.400,-3.977
14.450,-3.993
14.500,-4.015
14.550,-4.034
14.600,-4.053
14.650,-4.075
14.700,-4.100
14.750,-4.122
14.800,-4.144
14.850,-4.166
14.900,-4.191
14.950,-4.213
15.000,-4.235
15.050,-4.254
15.100,-4.273
15.150,-4.291
15.200,-4.310
15.250,-4.323
15.300,-4.339
15.350,-4.354
15.400,-4.364
15.450,-4.376
15.500,-4.386
15.550,-4.395
15.600,-4.401
15.650,-4.411
15.700,-4.417
15.750,-4.423
15.800,-4.430
15.850,-4.439
15.900,-4.445
15.950,-4.455
16.000,-4.464
16.050,-4.474
16.100,-4.483
16.150,-4.496
16.200,-4.508
16.250,-4.521
16.300,-4.536
16.350,-4.555
16.400,-4.571
16.450,-4.593
16.500,-4.612
16.550,-4.634
16.600,-4.653
16.650,-4.678
16.700,-4.700
16.750,-4.722
16.800,-4.744
16.850,-4.766
16.900,-4.788
16.950,-4.810
17.000,-4.829
17.050,-4.847
17.100,-4.866
17.150,-4.882
17.200,-4.898
17.250,-4.910
17.300,-4.920
17.350,-4.929
17.400,-4.935
17.450,-4.939
17.500,-4.945
17.550,-4.945
17.600,-4.945
17.650,-4.945
17.700,-4.945
17.750,-4.945
17.800,-4.945
17.850,-4.948
17.900,-4.948
17.950,-4.948
18.000,-4.951
18.050,-4.951
18.100,-4.954
18.150,-4.954
18.200,-4.954
18.250,-4.951
18.300,-4.948
18.350,-4.945
18.400,-4.942
18.450,-4.939
18.500,-4.932
18.550,-4.929
18.600,-4.926
18.650,-4.923
18.700,-4.920
18.750,-4.920
18.800,-4.920
18.850,-4.923
18.900,-4.929
18.950,-4.935
19.000,-4.948
19.050,-4.961
19.100,-4.976
19.150,-4.995
19.200,-5.017
19.250,-5.042
19.300,-5.071
19.350,-5.099
19.400,-5.130
19.450,-5.162
19.500,-5.196
19.550,-5.228
19.600,-5.259
19.650,-5.287
19.700,-5.316
19.750,-5.338
19.800,-5.360
19.850,-5.378
19.900,-5.397
19.950,-5.410
20.000,-5.419
20.050,-5.426
20.100,-5.432
20.150,-5.435
20.200,-5.438
20.250,-5.438
20.300,-5.438
20.350,-5.435
20.400,-5.435
20.450,-5.432
20.500,-5.429
20.550,-5.429
20.600,-5.429
20.650,-5.432
20.700,-5.435
20.750,-5.438
20.800,-5.448
20.850,-5.457
20.900,-5.470
20.950,-5.485
21.000,-5.504
21.050,-5.523
21.100,-5.548
21.150,-5.573
21.200,-5.601
21.250,-5.630
21.300,-5.661
21.350,-5.689
21.400,-5.718
21.450,-5.743
21.500,-5.765
21.550,-5.787
21.600,-5.806
21.650,-5.821
21.700,-5.834
21.750,-5.843
21.800,-5.853
21.850,-5.859
21.900,-5.862
21.950,-5.865
22.000,-5.865
22.050,-5.865
22.100,-5.865
22.150,-5.865
22.200,-5.865
22.250,-5.862
22.300,-5.862
22.350,-5.865
22.400,-5.868
22.450,-5.872
22.500,-5.878
22.550,-5.887
22.600,-5.897
22.650,-5.912
22.700,-5.925
22.750,-5.944
22.800,-5.966
22.850,-5.991
22.900,-6.016
22.950,-6.038
23.000,-6.063
23.050,-6.088
23.100,-6.107
23.150,-6.126
23.200,-6.139
23.250,-6.151
23.300,-6.164
23.350,-6.173
23.400,-6.176
23.450,-6.183
23.500,-6.186
23.550,-6.189
23.600,-6.189
23.650,-6.189
23.700,-6.189
23.750,-6.189
23.800,-6.189
23.850,-6.192
23.900,-6.192
23.950,-6.198
24.000,-6.205
24.050,-6.211
24.100,-6.220
24.150,-6.230
24.200,-6.245
24.250,-6.261
24.300,-6.280
24.350,-6.299
24.400,-6.318
24.450,-6.337
24.500,-6.355
24.550,-6.368
24.600,-6.381
24.650,-6.390
24.700,-6.396
24.750,-6.403
24.800,-6.409
24.850,-6.412
24.900,-6.415
24.950,-6.415
25.000,-6.415
25.050,-6.418
25.100,-6.418
25.150,-6.418
25.200,-6.421
25.250,-6.428
25.300,-6.431
25.350,-6.437
25.400,-6.447
25.450,-6.456
25.500,-6.469
25.550,-6.481
25.600,-6.497
25.650,-6.509
25.700,-6.522
25.750,-6.528
25.800,-6.538
25.850,-6.541
25.900,-6.547
25.950,-6.550
26.000,-6.550
26.050,-6.553
26.100,-6.553
26.150,-6.553
26.200,-6.557
26.250,-6.557
26.300,-6.560
26.350,-6.563
26.400,-6.569
26.450,-6.578
26.500,-6.585
26.550,-6.591
