"Time (s) Run #22","Angle, 004-000 (rad) Run #22"
0.000,0.000
0.050,-0.003
0.100,-0.006
0.150,-0.013
0.200,-0.019
0.250,-0.025
0.300,-0.031
0.350,-0.038
0.400,-0.041
0.450,-0.047
0.500,-0.057
0.550,-0.075
0.600,-0.097
0.650,-0.129
0.700,-0.160
0.750,-0.201
0.800,-0.245
0.850,-0.292
0.900,-0.346
0.950,-0.399
1.000,-0.452
1.050,-0.509
1.100,-0.565
1.150,-0.622
1.200,-0.679
1.250,-0.729
1.300,-0.779
1.350,-0.823
1.400,-0.845
1.450,-0.833
1.500,-0.801
1.550,-0.767
1.600,-0.726
1.650,-0.685
1.700,-0.638
1.750,-0.594
1.800,-0.547
1.850,-0.500
1.900,-0.456
1.950,-0.408
2.000,-0.368
2.050,-0.327
2.100,-0.286
2.150,-0.251
2.200,-0.217
2.250,-0.188
2.300,-0.167
2.350,-0.145
2.400,-0.129
2.450,-0.119
2.500,-0.113
2.550,-0.113
2.600,-0.119
2.650,-0.129
2.700,-0.141
2.750,-0.163
2.800,-0.185
2.850,-0.214
2.900,-0.245
2.950,-0.280
3.000,-0.317
3.050,-0.358
3.100,-0.399
3.150,-0.440
3.200,-0.481
3.250,-0.522
3.300,-0.562
3.350,-0.603
3.400,-0.641
3.450,-0.675
3.500,-0.710
3.550,-0.738
3.600,-0.760
3.650,-0.779
3.700,-0.789
3.750,-0.795
3.800,-0.795
3.850,-0.789
3.900,-0.779
3.950,-0.763
4.000,-0.741
4.050,-0.716
4.100,-0.688
4.150,-0.660
4.200,-0.625
4.250,-0.594
4.300,-0.556
4.350,-0.518
4.400,-0.481
4.450,-0.443
4.500,-0.405
4.550,-0.371
4.600,-0.336
4.650,-0.302
4.700,-0.273
4.750,-0.245
4.800,-0.220
4.850,-0.198
4.900,-0.182
4.950,-0.167
5.000,-0.157
5.050,-0.151
5.100,-0.148
5.150,-0.148
5.200,-0.154
5.250,-0.167
5.300,-0.179
5.350,-0.198
5.400,-0.217
5.450,-0.242
5.500,-0.267
5.550,-0.298
5.600,-0.330
5.650,-0.361
5.700,-0.396
5.750,-0.430
5.800,-0.465
5.850,-0.500
5.900,-0.534
5.950,-0.565
6.000,-0.597
6.050,-0.625
6.100,-0.650
6.150,-0.672
6.200,-0.691
6.250,-0.707
6.300,-0.719
6.350,-0.723
6.400,-0.726
6.450,-0.723
6.500,-0.713
6.550,-0.704
6.600,-0.688
6.650,-0.669
6.700,-0.647
6.750,-0.622
6.800,-0.597
6.850,-0.569
6.900,-0.537
6.950,-0.506
7.000,-0.474
7.050,-0.446
7.100,-0.412
7.150,-0.383
7.200,-0.352
7.250,-0.324
7.300,-0.298
7.350,-0.273
7.400,-0.251
7.450,-0.232
7.500,-0.217
7.550,-0.201
7.600,-0.192
7.650,-0.185
7.700,-0.179
7.750,-0.179
7.800,-0.182
7.850,-0.188
7.900,-0.198
7.950,-0.210
8.000,-0.223
8.050,-0.242
8.100,-0.264
8.150,-0.286
8.200,-0.311
8.250,-0.339
8.300,-0.368
8.350,-0.393
8.400,-0.421
8.450,-0.452
8.500,-0.481
8.550,-0.506
8.600,-0.534
8.650,-0.556
8.700,-0.581
8.750,-0.600
8.800,-0.619
8.850,-0.631
8.900,-0.644
8.950,-0.653
9.000,-0.657
9.050,-0.660
9.100,-0.657
9.150,-0.650
9.200,-0.641
9.250,-0.628
9.300,-0.613
9.350,-0.594
9.400,-0.575
9.450,-0.550
9.500,-0.528
9.550,-0.503
9.600,-0.478
9.650,-0.449
9.700,-0.424
9.750,-0.396
9.800,-0.371
9.850,-0.346
9.900,-0.324
9.950,-0.298
10.000,-0.280
10.050,-0.258
10.100,-0.242
10.150,-0.226
10.200,-0.214
10.250,-0.204
10.300,-0.198
10.350,-0.192
10.400,-0.192
10.450,-0.192
10.500,-0.195
10.550,-0.201
10.600,-0.210
10.650,-0.223
10.700,-0.236
10.750,-0.251
10.800,-0.270
10.850,-0.289
10.900,-0.311
10.950,-0.333
11.000,-0.355
11.050,-0.380
11.100,-0.402
11.150,-0.424
11.200,-0.446
11.250,-0.468
11.300,-0.490
11.350,-0.509
11.400,-0.525
11.450,-0.540
11.500,-0.553
11.550,-0.562
11.600,-0.572
11.650,-0.575
11.700,-0.575
11.750,-0.575
11.800,-0.572
11.850,-0.565
11.900,-0.556
11.950,-0.543
12.000,-0.528
12.050,-0.512
12.100,-0.493
12.150,-0.474
12.200,-0.452
12.250,-0.430
12.300,-0.408
12.350,-0.386
12.400,-0.364
12.450,-0.342
12.500,-0.320
12.550,-0.298
12.600,-0.280
12.650,-0.261
12.700,-0.242
12.750,-0.226
12.800,-0.214
12.850,-0.201
12.900,-0.192
12.950,-0.182
13.000,-0.176
13.050,-0.173
13.100,-0.173
13.150,-0.173
13.200,-0.179
13.250,-0.185
13.300,-0.192
13.350,-0.204
13.400,-0.214
13.450,-0.226
13.500,-0.242
13.550,-0.258
13.600,-0.276
13.650,-0.295
13.700,-0.314
13.750,-0.333
13.800,-0.352
13.850,-0.371
13.900,-0.386
13.950,-0.405
14.000,-0.421
14.050,-0.434
14.100,-0.446
14.150,-0.459
14.200,-0.468
14.250,-0.474
14.300,-0.478
14.350,-0.481
14.400,-0.481
14.450,-0.478
14.500,-0.474
14.550,-0.465
14.600,-0.456
14.650,-0.446
14.700,-0.434
14.750,-0.418
14.800,-0.402
14.850,-0.383
14.900,-0.364
14.950,-0.346
15.000,-0.330
15.050,-0.308
15.100,-0.289
15.150,-0.270
15.200,-0.251
15.250,-0.236
15.300,-0.217
15.350,-0.201
15.400,-0.188
15.450,-0.173
15.500,-0.163
15.550,-0.154
15.600,-0.145
15.650,-0.141
15.700,-0.135
15.750,-0.135
15.800,-0.135
15.850,-0.135
15.900,-0.141
15.950,-0.148
16.000,-0.154
16.050,-0.167
16.100,-0.176
16.150,-0.188
16.200,-0.204
16.250,-0.217
16.300,-0.232
16.350,-0.245
16.400,-0.261
16.450,-0.276
16.500,-0.292
16.550,-0.308
16.600,-0.324
16.650,-0.336
16.700,-0.349
16.750,-0.358
16.800,-0.368
16.850,-0.377
16.900,-0.380
16.950,-0.386
17.000,-0.386
17.050,-0.390
17.100,-0.386
17.150,-0.383
17.200,-0.377
17.250,-0.368
17.300,-0.358
17.350,-0.349
17.400,-0.336
17.450,-0.320
17.500,-0.305
17.550,-0.289
17.600,-0.273
17.650,-0.254
17.700,-0.239
17.750,-0.220
17.800,-0.204
17.850,-0.185
17.900,-0.170
17.950,-0.154
18.000,-0.141
18.050,-0.126
18.100,-0.116
18.150,-0.104
18.200,-0.097
18.250,-0.088
18.300,-0.085
18.350,-0.082
18.400,-0.079
18.450,-0.079
18.500,-0.082
18.550,-0.085
18.600,-0.091
18.650,-0.101
18.700,-0.110
18.750,-0.119
18.800,-0.132
18.850,-0.145
18.900,-0.157
18.950,-0.170
19.000,-0.185
19.050,-0.198
19.100,-0.214
19.150,-0.226
19.200,-0.239
19.250,-0.251
19.300,-0.261
19.350,-0.273
19.400,-0.283
19.450,-0.292
19.500,-0.295
19.550,-0.302
19.600,-0.305
19.650,-0.305
19.700,-0.308
19.750,-0.305
19.800,-0.298
19.850,-0.292
