"Angle, 004-000 (rad) Run #35","Angle, 670-231 (rad) Run #35"
0,0
0.009,-0.031
0.013,-0.06
0.016,-0.094
0.016,-0.126
0.013,-0.157
0.006,-0.188
-0.003,-0.22
-0.013,-0.248
-0.025,-0.273
-0.041,-0.298
-0.057,-0.32
-0.072,-0.339
-0.091,-0.355
-0.107,-0.368
-0.123,-0.38
-0.138,-0.386
-0.154,-0.393
-0.163,-0.396
-0.176,-0.396
-0.182,-0.396
-0.188,-0.393
-0.192,-0.39
-0.195,-0.386
-0.192,-0.383
-0.188,-0.38
-0.179,-0.377
-0.17,-0.377
-0.157,-0.377
-0.145,-0.38
-0.132,-0.386
-0.113,-0.393
-0.097,-0.402
-0.082,-0.415
-0.063,-0.43
-0.047,-0.449
-0.031,-0.471
-0.019,-0.493
-0.006,-0.518
0.003,-0.543
0.013,-0.572
0.019,-0.6
0.022,-0.631
0.022,-0.663
0.022,-0.694
0.016,-0.723
0.009,-0.754
-5.38E-17,-0.782
-0.009,-0.807
-0.022,-0.829
-0.035,-0.851
-0.05,-0.873
-0.066,-0.889
-0.082,-0.905
-0.097,-0.917
-0.11,-0.927
-0.126,-0.933
-0.135,-0.936
-0.148,-0.939
-0.151,-0.942
-0.16,-0.942
-0.163,-0.942
-0.163,-0.939
-0.163,-0.936
-0.16,-0.936
-0.154,-0.936
-0.148,-0.936
-0.138,-0.936
-0.126,-0.939
-0.113,-0.946
-0.097,-0.952
-0.082,-0.961
-0.066,-0.974
-0.05,-0.986
-0.038,-1.005
-0.022,-1.024
-0.009,-1.043
0.003,-1.065
0.016,-1.09
0.025,-1.115
0.031,-1.144
0.035,-1.172
0.038,-1.2
0.038,-1.228
0.035,-1.257
0.028,-1.282
0.025,-1.31
0.016,-1.335
0.003,-1.357
-0.009,-1.379
-0.019,-1.398
-0.035,-1.417
-0.047,-1.433
-0.06,-1.445
-0.072,-1.455
-0.085,-1.464
-0.097,-1.47
-0.107,-1.477
-0.113,-1.48
-0.119,-1.48
-0.123,-1.48
