"Time (s) Run #35","Angle, 004-000 (rad) Run #35","Angle, 670-231 (rad) Run #35"
0.000,0.000,0.000
0.050,0.009,-0.031
0.100,0.013,-0.060
0.150,0.016,-0.094
0.200,0.016,-0.126
0.250,0.013,-0.157
0.300,0.006,-0.188
0.350,-0.003,-0.220
0.400,-0.013,-0.248
0.450,-0.025,-0.273
0.500,-0.041,-0.298
0.550,-0.057,-0.320
0.600,-0.072,-0.339
0.650,-0.091,-0.355
0.700,-0.107,-0.368
0.750,-0.123,-0.380
0.800,-0.138,-0.386
0.850,-0.154,-0.393
0.900,-0.163,-0.396
0.950,-0.176,-0.396
1.000,-0.182,-0.396
1.050,-0.188,-0.393
1.100,-0.192,-0.390
1.150,-0.195,-0.386
1.200,-0.192,-0.383
1.250,-0.188,-0.380
1.300,-0.179,-0.377
1.350,-0.170,-0.377
1.400,-0.157,-0.377
1.450,-0.145,-0.380
1.500,-0.132,-0.386
1.550,-0.113,-0.393
1.600,-0.097,-0.402
1.650,-0.082,-0.415
1.700,-0.063,-0.430
1.750,-0.047,-0.449
1.800,-0.031,-0.471
1.850,-0.019,-0.493
1.900,-0.006,-0.518
1.950,0.003,-0.543
2.000,0.013,-0.572
2.050,0.019,-0.600
2.100,0.022,-0.631
2.150,0.022,-0.663
2.200,0.022,-0.694
2.250,0.016,-0.723
2.300,0.009,-0.754
2.350,-5.378E-17,-0.782
2.400,-0.009,-0.807
2.450,-0.022,-0.829
2.500,-0.035,-0.851
2.550,-0.050,-0.873
2.600,-0.066,-0.889
2.650,-0.082,-0.905
2.700,-0.097,-0.917
2.750,-0.110,-0.927
2.800,-0.126,-0.933
2.850,-0.135,-0.936
2.900,-0.148,-0.939
2.950,-0.151,-0.942
3.000,-0.160,-0.942
3.050,-0.163,-0.942
3.100,-0.163,-0.939
3.150,-0.163,-0.936
3.200,-0.160,-0.936
3.250,-0.154,-0.936
3.300,-0.148,-0.936
3.350,-0.138,-0.936
3.400,-0.126,-0.939
3.450,-0.113,-0.946
3.500,-0.097,-0.952
3.550,-0.082,-0.961
3.600,-0.066,-0.974
3.650,-0.050,-0.986
3.700,-0.038,-1.005
3.750,-0.022,-1.024
3.800,-0.009,-1.043
3.850,0.003,-1.065
3.900,0.016,-1.090
3.950,0.025,-1.115
4.000,0.031,-1.144
4.050,0.035,-1.172
4.100,0.038,-1.200
4.150,0.038,-1.228
4.200,0.035,-1.257
4.250,0.028,-1.282
4.300,0.025,-1.310
4.350,0.016,-1.335
4.400,0.003,-1.357
4.450,-0.009,-1.379
4.500,-0.019,-1.398
4.550,-0.035,-1.417
4.600,-0.047,-1.433
4.650,-0.060,-1.445
4.700,-0.072,-1.455
4.750,-0.085,-1.464
4.800,-0.097,-1.470
4.850,-0.107,-1.477
4.900,-0.113,-1.480
4.950,-0.119,-1.480
5.000,-0.123,-1.480
5.050,-0.126,-1.483
5.100,-0.126,-1.483
5.150,-0.123,-1.483
5.200,-0.116,-1.483
5.250,-0.110,-1.483
5.300,-0.101,-1.486
5.350,-0.091,-1.489
5.400,-0.079,-1.492
5.450,-0.066,-1.502
5.500,-0.050,-1.508
5.550,-0.038,-1.521
5.600,-0.022,-1.533
5.650,-0.006,-1.549
5.700,0.006,-1.565
5.750,0.019,-1.587
5.800,0.031,-1.605
5.850,0.041,-1.627
5.900,0.050,-1.652
5.950,0.057,-1.681
6.000,0.063,-1.706
6.050,0.066,-1.734
6.100,0.066,-1.762
6.150,0.066,-1.788
6.200,0.063,-1.816
6.250,0.057,-1.841
6.300,0.050,-1.866
6.350,0.041,-1.891
6.400,0.031,-1.913
6.450,0.019,-1.935
6.500,0.009,-1.954
6.550,-0.003,-1.970
6.600,-0.016,-1.982
6.650,-0.028,-1.995
6.700,-0.038,-2.004
6.750,-0.050,-2.014
6.800,-0.057,-2.020
6.850,-0.066,-2.023
6.900,-0.072,-2.029
6.950,-0.075,-2.029
7.000,-0.079,-2.033
7.050,-0.079,-2.033
7.100,-0.075,-2.036
7.150,-0.072,-2.036
7.200,-0.066,-2.039
