"Angle, 004-000 (rad) Run #28","Angle, 670-231 (rad) Run #28"
0.000,0.000
0.003,0.003
0.006,0.006
0.013,0.013
0.016,0.022
0.022,0.041
0.031,0.072
0.044,0.113
0.066,0.157
0.094,0.195
0.132,0.226
0.179,0.254
0.229,0.270
0.286,0.280
0.342,0.276
0.399,0.264
0.456,0.239
0.506,0.204
0.553,0.157
0.591,0.097
0.619,0.028
0.631,-0.050
0.635,-0.129
0.625,-0.210
0.603,-0.286
0.572,-0.352
0.531,-0.412
0.484,-0.456
0.434,-0.490
0.377,-0.512
0.324,-0.522
0.273,-0.522
0.223,-0.512
0.176,-0.493
0.138,-0.465
0.107,-0.434
0.085,-0.396
0.072,-0.355
0.066,-0.311
0.075,-0.267
0.091,-0.226
0.113,-0.188
0.148,-0.154
0.188,-0.126
0.236,-0.107
0.286,-0.097
0.336,-0.094
0.393,-0.104
0.446,-0.123
0.496,-0.154
0.543,-0.195
0.581,-0.248
0.616,-0.314
0.631,-0.386
0.641,-0.465
0.638,-0.540
0.619,-0.616
0.591,-0.685
0.553,-0.745
0.509,-0.792
0.462,-0.826
0.412,-0.851
0.358,-0.864
0.308,-0.867
0.258,-0.864
0.214,-0.848
0.173,-0.823
0.141,-0.795
0.119,-0.760
0.104,-0.723
0.097,-0.682
0.097,-0.641
0.110,-0.600
0.132,-0.562
0.160,-0.528
0.198,-0.500
0.239,-0.481
0.286,-0.468
0.336,-0.462
0.390,-0.465
0.440,-0.481
0.490,-0.509
0.537,-0.547
0.578,-0.594
0.613,-0.653
0.635,-0.719
0.644,-0.795
0.641,-0.870
0.628,-0.942
0.603,-1.012
0.569,-1.068
0.528,-1.115
0.481,-1.153
0.430,-1.178
0.383,-1.194
0.333,-1.200
0.286,-1.197
0.242,-1.184
0.204,-1.162
0.173,-1.134
0.148,-1.103
0.132,-1.068
0.123,-1.027
0.123,-0.990
0.132,-0.952
0.151,-0.914
0.176,-0.883
0.210,-0.855
0.248,-0.836
0.292,-0.820
0.339,-0.814
0.390,-0.814
0.440,-0.826
0.487,-0.851
0.531,-0.886
0.572,-0.927
0.606,-0.983
0.631,-1.046
0.644,-1.115
0.644,-1.188
0.635,-1.263
0.613,-1.329
0.581,-1.389
0.543,-1.436
0.500,-1.477
0.452,-1.505
0.405,-1.521
0.358,-1.527
0.314,-1.527
0.270,-1.517
0.232,-1.502
0.201,-1.477
0.176,-1.448
0.160,-1.414
0.148,-1.379
0.148,-1.341
0.154,-1.304
0.167,-1.269
0.192,-1.238
0.220,-1.213
0.254,-1.188
0.295,-1.175
0.339,-1.166
0.386,-1.166
0.434,-1.175
0.478,-1.197
0.522,-1.225
0.562,-1.266
0.597,-1.316
0.625,-1.376
0.638,-1.442
0.644,-1.511
0.638,-1.580
0.622,-1.649
0.594,-1.706
0.562,-1.759
0.522,-1.800
0.481,-1.832
0.437,-1.854
0.390,-1.866
0.346,-1.869
0.305,-1.863
0.267,-1.850
0.232,-1.832
0.204,-1.806
0.185,-1.778
0.173,-1.747
0.167,-1.712
0.167,-1.678
0.179,-1.646
0.195,-1.615
0.220,-1.587
0.251,-1.565
0.286,-1.546
0.327,-1.536
0.371,-1.533
0.415,-1.536
0.459,-1.552
0.503,-1.577
0.540,-1.608
0.578,-1.652
0.606,-1.706
0.628,-1.766
0.638,-1.828
0.641,-1.894
0.631,-1.960
0.613,-2.023
0.587,-2.080
0.553,-2.127
0.515,-2.168
0.474,-2.196
0.430,-2.218
0.390,-2.227
0.349,-2.231
0.308,-2.224
0.273,-2.212
0.242,-2.193
0.217,-2.171
0.198,-2.143
0.185,-2.111
0.182,-2.080
0.185,-2.048
0.195,-2.017
0.214,-1.989
0.239,-1.963
0.267,-1.942
0.302,-1.929
0.339,-1.920
0.380,-1.916
0.424,-1.923
0.465,-1.942
0.506,-1.963
0.543,-1.998
0.578,-2.042
0.606,-2.092
0.625,-2.149
0.635,-2.209
0.638,-2.275
0.628,-2.340
0.613,-2.403
0.587,-2.457
0.559,-2.507
0.525,-2.545
0.484,-2.576
0.443,-2.598
0.402,-2.611
0.361,-2.614
0.324,-2.614
0.289,-2.601
0.261,-2.586
0.236,-2.567
0.214,-2.542
0.201,-2.513
0.198,-2.485
0.198,-2.457
0.204,-2.428
0.220,-2.400
0.242,-2.375
0.270,-2.356
0.302,-2.340
0.336,-2.331
0.374,-2.331
0.415,-2.334
0.456,-2.347
0.493,-2.369
0.531,-2.397
0.565,-2.438
0.591,-2.482
0.613,-2.535
0.625,-2.592
0.631,-2.655
0.628,-2.717
0.619,-2.780
0.600,-2.834
0.572,-2.884
0.540,-2.928
0.506,-2.963
0.468,-2.988
0.430,-3.007
0.393,-3.016
0.352,-3.016
0.317,-3.013
0.286,-3.000
0.261,-2.985
0.239,-2.966
0.223,-2.941
0.214,-2.912
0.210,-2.887
0.214,-2.862
0.223,-2.834
0.239,-2.812
0.261,-2.790
0.289,-2.774
0.320,-2.761
0.355,-2.755
0.393,-2.755
0.430,-2.765
0.468,-2.780
0.503,-2.802
0.537,-2.834
0.569,-2.871
0.591,-2.919
0.609,-2.969
0.622,-3.025
0.625,-3.085
0.619,-3.145
0.609,-3.201
0.591,-3.255
0.565,-3.305
0.534,-3.343
0.503,-3.377
0.465,-3.399
0.430,-3.418
0.393,-3.427
0.358,-3.427
0.324,-3.424
0.295,-3.415
0.270,-3.399
0.251,-3.380
0.236,-3.358
0.226,-3.333
0.226,-3.308
0.229,-3.283
0.239,-3.258
0.254,-3.236
0.276,-3.217
0.302,-3.201
0.333,-3.192
0.364,-3.189
0.399,-3.189
0.437,-3.198
0.471,-3.214
0.506,-3.239
0.537,-3.270
0.565,-3.308
0.587,-3.352
0.603,-3.402
0.616,-3.456
0.619,-3.512
0.613,-3.569
0.603,-3.622
0.584,-3.676
0.562,-3.720
0.534,-3.757
0.503,-3.789
0.468,-3.814
0.434,-3.830
0.399,-3.839
0.368,-3.842
0.336,-3.839
0.308,-3.830
0.286,-3.817
0.267,-3.798
0.251,-3.779
0.245,-3.757
0.242,-3.732
0.245,-3.710
0.254,-3.688
0.270,-3.669
0.289,-3.651
0.314,-3.638
0.342,-3.629
0.374,-3.625
0.405,-3.625
0.440,-3.635
0.474,-3.651
0.506,-3.673
0.534,-3.701
0.562,-3.738
0.584,-3.779
0.603,-3.826
0.613,-3.877
0.616,-3.933
0.616,-3.987
0.606,-4.040
0.591,-4.090
0.569,-4.134
0.543,-4.172
0.515,-4.207
0.484,-4.232
0.449,-4.247
0.418,-4.260
0.386,-4.266
0.358,-4.266
0.330,-4.257
0.308,-4.247
0.289,-4.232
0.273,-4.213
0.264,-4.194
0.261,-4.172
0.264,-4.150
0.270,-4.131
0.283,-4.109
0.302,-4.093
0.324,-4.081
0.349,-4.072
0.377,-4.068
0.408,-4.065
0.440,-4.075
0.471,-4.087
0.503,-4.106
0.531,-4.134
0.559,-4.166
0.581,-4.207
0.600,-4.251
0.613,-4.298
0.619,-4.348
0.619,-4.401
0.613,-4.455
0.600,-4.502
0.581,-4.546
0.559,-4.584
0.531,-4.618
0.503,-4.643
0.474,-4.662
0.443,-4.678
0.415,-4.684
0.386,-4.687
0.358,-4.681
0.336,-4.675
0.317,-4.662
0.302,-4.646
0.289,-4.631
0.286,-4.609
0.286,-4.593
0.289,-4.571
0.302,-4.555
0.314,-4.536
0.336,-4.524
0.358,-4.514
0.383,-4.508
0.412,-4.508
0.443,-4.511
0.474,-4.524
0.503,-4.540
0.531,-4.562
0.559,-4.590
0.584,-4.624
0.603,-4.665
0.616,-4.709
0.625,-4.756
0.628,-4.807
0.625,-4.857
