Description	
Number of Runs	150
Preset Time	5
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	900	1	5	04/09/25 02:27:51 PM	
2	900	6	5	04/09/25 02:27:56 PM	
3	900	3	5	04/09/25 02:28:01 PM	
4	900	2	5	04/09/25 02:28:07 PM	
5	900	3	5	04/09/25 02:28:12 PM	
6	900	4	5	04/09/25 02:28:17 PM	
7	900	2	5	04/09/25 02:28:22 PM	
8	900	1	5	04/09/25 02:28:27 PM	
9	900	5	5	04/09/25 02:28:33 PM	
10	900	1	5	04/09/25 02:28:38 PM	
11	900	3	5	04/09/25 02:28:43 PM	
12	900	5	5	04/09/25 02:28:48 PM	
13	900	3	5	04/09/25 02:28:54 PM	
14	900	1	5	04/09/25 02:28:59 PM	
15	900	4	5	04/09/25 02:29:04 PM	
16	900	1	5	04/09/25 02:29:09 PM	
17	900	4	5	04/09/25 02:29:14 PM	
18	900	5	5	04/09/25 02:29:19 PM	
19	900	4	5	04/09/25 02:29:24 PM	
20	900	5	5	04/09/25 02:29:30 PM	
21	900	4	5	04/09/25 02:29:35 PM	
22	900	3	5	04/09/25 02:29:40 PM	
23	900	6	5	04/09/25 02:29:45 PM	
24	900	4	5	04/09/25 02:29:50 PM	
25	900	2	5	04/09/25 02:29:55 PM	
26	900	4	5	04/09/25 02:30:01 PM	
27	900	3	5	04/09/25 02:30:06 PM	
28	900	6	5	04/09/25 02:30:11 PM	
29	900	1	5	04/09/25 02:30:16 PM	
30	900	2	5	04/09/25 02:30:21 PM	
31	900	2	5	04/09/25 02:30:26 PM	
32	900	1	5	04/09/25 02:30:32 PM	
33	900	4	5	04/09/25 02:30:37 PM	
34	900	2	5	04/09/25 02:30:42 PM	
35	900	5	5	04/09/25 02:30:47 PM	
36	900	7	5	04/09/25 02:30:52 PM	
37	900	6	5	04/09/25 02:30:57 PM	
38	900	3	5	04/09/25 02:31:03 PM	
39	900	3	5	04/09/25 02:31:08 PM	
40	900	3	5	04/09/25 02:31:13 PM	
41	900	3	5	04/09/25 02:31:18 PM	
42	900	4	5	04/09/25 02:31:23 PM	
43	900	1	5	04/09/25 02:31:28 PM	
44	900	1	5	04/09/25 02:31:34 PM	
45	900	3	5	04/09/25 02:31:39 PM	
46	900	6	5	04/09/25 02:31:44 PM	
47	900	1	5	04/09/25 02:31:49 PM	
48	900	4	5	04/09/25 02:31:54 PM	
49	900	5	5	04/09/25 02:31:59 PM	
50	900	3	5	04/09/25 02:32:05 PM	
51	900	3	5	04/09/25 02:32:10 PM	
52	900	3	5	04/09/25 02:32:15 PM	
