Description	
Number of Runs	26
Preset Time	30
Pause Time	0
Alarm Level	0
High Voltage	700
Step Voltage	20
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	700	0	30	04/02/25 03:11:09 PM	
2	720	43	30	04/02/25 03:11:39 PM	
3	740	7897	30	04/02/25 03:12:09 PM	
4	760	16121	30	04/02/25 03:12:40 PM	
5	780	19925	30	04/02/25 03:13:10 PM	
6	800	24351	30	04/02/25 03:13:41 PM	
7	820	26220	30	04/02/25 03:14:11 PM	
8	840	28664	30	04/02/25 03:14:42 PM	
9	860	30579	30	04/02/25 03:15:12 PM	
10	880	33027	30	04/02/25 03:15:42 PM	
11	900	34267	30	04/02/25 03:16:13 PM	
12	920	36545	30	04/02/25 03:16:43 PM	
13	940	37825	30	04/02/25 03:17:14 PM	
14	960	39953	30	04/02/25 03:17:44 PM	
15	980	40618	30	04/02/25 03:18:14 PM	
16	1000	42024	30	04/02/25 03:18:45 PM	
17	1020	43260	30	04/02/25 03:19:15 PM	
18	1040	44862	30	04/02/25 03:19:46 PM	
19	1060	46732	30	04/02/25 03:20:16 PM	
20	1080	50933	30	04/02/25 03:20:46 PM	
21	1100	53058	30	04/02/25 03:21:17 PM	
22	1120	61369	30	04/02/25 03:21:47 PM	
23	1140	64145	30	04/02/25 03:22:18 PM	
24	1160	66023	30	04/02/25 03:22:48 PM	
25	1180	66898	30	04/02/25 03:23:19 PM	
26	1200	66666	30	04/02/25 03:23:49 PM	
