Description	
Number of Runs	30
Preset Time	30
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	900	5687	30	04/10/25 04:30:31 PM	
2	900	5060	30	04/10/25 04:31:01 PM	
3	900	4479	30	04/10/25 04:31:32 PM	
4	900	3772	30	04/10/25 04:32:02 PM	
5	900	3489	30	04/10/25 04:32:33 PM	
6	900	3145	30	04/10/25 04:33:03 PM	
7	900	2661	30	04/10/25 04:33:33 PM	
8	900	2308	30	04/10/25 04:34:04 PM	
9	900	2020	30	04/10/25 04:34:34 PM	
10	900	1799	30	04/10/25 04:35:04 PM	
11	900	1538	30	04/10/25 04:35:35 PM	
12	900	1455	30	04/10/25 04:36:05 PM	
13	900	1300	30	04/10/25 04:36:35 PM	
14	900	1113	30	04/10/25 04:37:06 PM	
15	900	958	30	04/10/25 04:37:36 PM	
16	900	822	30	04/10/25 04:38:07 PM	
17	900	758	30	04/10/25 04:38:37 PM	
18	900	633	30	04/10/25 04:39:07 PM	
19	900	570	30	04/10/25 04:39:38 PM	
20	900	510	30	04/10/25 04:40:08 PM	
21	900	452	30	04/10/25 04:40:38 PM	
22	900	387	30	04/10/25 04:41:09 PM	
23	900	360	30	04/10/25 04:41:39 PM	
24	900	303	30	04/10/25 04:42:09 PM	
25	900	279	30	04/10/25 04:42:40 PM	
26	900	253	30	04/10/25 04:43:10 PM	
27	900	200	30	04/10/25 04:43:40 PM	
28	900	185	30	04/10/25 04:44:11 PM	
29	900	171	30	04/10/25 04:44:41 PM	
30	900	152	30	04/10/25 04:45:12 PM	
