Description										
Number of Runs	750									
Preset Time	1									
Pause Time	0									
Alarm Level	0									
High Voltage	900									
Step Voltage	0									
Volume	0									
										
Run	High		Elapsed			Mean	N	Frequency	Poisson Dist.	Gaussian Dist.
Number	Voltage	Counts	Time	Date/Time		13.97333333	3	1	0.058250346	0.382037549
1	900	12	1	4/9/25 14:52			4	0	0.203487874	0.721217021
2	900	10	1	4/9/25 14:52		Minimum	5	2	0.568680778	1.281377429
3	900	14	1	4/9/25 14:52		3	6	0	1.324394345	2.142591402
4	900	9	1	4/9/25 14:52			7	2	2.643743378	3.37173032
5	900	15	1	4/9/25 14:52		Maximum 	8	6	4.617738434	4.993642992
6	900	10	1	4/9/25 14:52		24	9	9	7.169466487	6.960386161
7	900	10	1	4/9/25 14:52			10	14	10.0181345	9.130622026
8	900	12	1	4/9/25 14:52		Standard Deviation	11	9	12.72606662	11.27245682
9	900	20	1	4/9/25 14:52		4.059865219	12	10	14.81879757	13.09748717
10	900	11	1	4/9/25 14:52			13	16	15.92830755	14.32216156
11	900	17	1	4/9/25 14:52		Square Root of Mean	14	12	15.89796791	14.73941818
12	900	15	1	4/9/25 14:52		3.738092205	15	18	14.80984033	14.27589346
13	900	18	1	4/9/25 14:52			16	15	12.93392722	13.01300035
14	900	15	1	4/9/25 14:52			17	12	10.63118096	11.16356153
15	900	14	1	4/9/25 14:52			18	4	8.252946408	9.013205738
16	900	10	1	4/9/25 14:52			19	5	6.069535323	6.848681731
17	900	12	1	4/9/25 14:52			20	5	4.240582012	4.897628841
18	900	12	1	4/9/25 14:52			21	3	2.821669809	3.296218106
19	900	11	1	4/9/25 14:52			22	2	1.792187854	2.087839919
20	900	16	1	4/9/25 14:52			23	3	1.088819056	1.244599548
21	900	13	1	4/9/25 14:52			24	2	0.63393465	0.698253733
22	900	13	1	4/9/25 14:52				0	0.0001281	0.03945785
23	900	13	1	4/9/25 14:52						
24	900	12	1	4/9/25 14:52						
25	900	9	1	4/9/25 14:52						
26	900	10	1	4/9/25 14:52						
27	900	11	1	4/9/25 14:52						
28	900	10	1	4/9/25 14:53						
29	900	11	1	4/9/25 14:53						
30	900	10	1	4/9/25 14:53						
31	900	16	1	4/9/25 14:53						
32	900	16	1	4/9/25 14:53						
33	900	14	1	4/9/25 14:53						
34	900	24	1	4/9/25 14:53						
35	900	16	1	4/9/25 14:53						
36	900	18	1	4/9/25 14:53						
37	900	8	1	4/9/25 14:53						
38	900	7	1	4/9/25 14:53						
39	900	17	1	4/9/25 14:53						
40	900	20	1	4/9/25 14:53						
41	900	14	1	4/9/25 14:53						
42	900	17	1	4/9/25 14:53						
43	900	18	1	4/9/25 14:53						
44	900	20	1	4/9/25 14:53						
45	900	15	1	4/9/25 14:53						
46	900	13	1	4/9/25 14:53						
47	900	15	1	4/9/25 14:53						
48	900	16	1	4/9/25 14:53						
49	900	17	1	4/9/25 14:53						
50	900	23	1	4/9/25 14:53						
51	900	8	1	4/9/25 14:53						
52	900	14	1	4/9/25 14:53						
53	900	20	1	4/9/25 14:53						
54	900	14	1	4/9/25 14:53						
55	900	13	1	4/9/25 14:53						
56	900	8	1	4/9/25 14:53						
57	900	15	1	4/9/25 14:53						
58	900	9	1	4/9/25 14:53						
59	900	7	1	4/9/25 14:53						
