Description	
Number of Runs	10
Preset Time	30
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	900	24541	30	04/09/25 04:27:39 PM	
2	900	17054	30	04/09/25 04:28:22 PM	
3	900	11820	30	04/09/25 04:28:59 PM	
4	900	8253	30	04/09/25 04:29:36 PM	
5	900	6011	30	04/09/25 04:30:20 PM	
6	900	4802	30	04/09/25 04:30:58 PM	
7	900	3550	30	04/09/25 04:31:33 PM	
8	900	2901	30	04/09/25 04:32:50 PM	
9	900	2409	30	04/09/25 04:33:26 PM	
10	900	2013	30	04/09/25 04:34:04 PM	
